task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 3)     -7.406     0.593   -20.639     5.827
 (0 - 4)      0.998     1.000   -12.235    14.230
 (0 - 5)      1.159     1.000   -12.074    14.392
 (0 - 6)      2.552     0.998   -10.681    15.785
 (0 - 7)      2.978     0.994   -10.255    16.211
 (1 - 0)      6.708     0.700    -6.525    19.941
 (1 - 2)      7.885     0.518    -5.348    21.118
 (1 - 3)     -0.697     1.000   -13.930    12.536
 (1 - 4)      7.706     0.546    -5.527    20.939
 (1 - 5)      7.867     0.521    -5.366    21.100
 (1 - 6)      9.260     0.325    -3.972    22.493
 (1 - 7)      9.686     0.275    -3.547    22.919
 (2 - 0)     -1.177     1.000   -14.410    12.056
 (2 - 1)     -7.885     0.518   -21.118     5.348
 (2 - 3)     -8.583     0.415   -21.815     4.650
 (2 - 4)     -0.179     1.000   -13.412    13.054
 (2 - 5)     -0.018     1.000   -13.251    13.215
 (2 - 6)      1.375     1.000   -11.858    14.608
 (2 - 7)      1.801     1.000   -11.432    15.034
 (3 - 0)      7.406     0.593    -5.827    20.639
 (3 - 1)      0.697     1.000   -12.536    13.930
 (3 - 2)      8.583     0.415    -4.650    21.815
 (3 - 4)      8.403     0.441    -4.830    21.636
 (3 - 5)      8.564     0.417    -4.668    21.797
 (3 - 6)      9.958     0.246    -3.275    23.191
 (3 - 7)     10.384     0.205    -2.849    23.617
 (4 - 0)     -0.998     1.000   -14.230    12.235
 (4 - 1)     -7.706     0.546   -20.939     5.527
 (4 - 2)      0.179     1.000   -13.054    13.412
 (4 - 3)     -8.403     0.441   -21.636     4.830
 (4 - 5)      0.161     1.000   -13.072    13.394
 (4 - 6)      1.555     1.000   -11.678    14.787
 (4 - 7)      1.980     1.000   -11.252    15.213
 (5 - 0)     -1.159     1.000   -14.392    12.074
 (5 - 1)     -7.867     0.521   -21.100     5.366
 (5 - 2)      0.018     1.000   -13.215    13.251
 (5 - 3)     -8.564     0.417   -21.797     4.668
 (5 - 4)     -0.161     1.000   -13.394    13.072
 (5 - 6)      1.393     1.000   -11.840    14.626
 (5 - 7)      1.819     1.000   -11.414    15.052
 (6 - 0)     -2.552     0.998   -15.785    10.681
 (6 - 1)     -9.260     0.325   -22.493     3.972
 (6 - 2)     -1.375     1.000   -14.608    11.858
 (6 - 3)     -9.958     0.246   -23.191     3.275
 (6 - 4)     -1.555     1.000   -14.787    11.678
 (6 - 5)     -1.393     1.000   -14.626    11.840
 (6 - 7)      0.426     1.000   -12.807    13.659
 (7 - 0)     -2.978     0.994   -16.211    10.255
 (7 - 1)     -9.686     0.275   -22.919     3.547
 (7 - 2)     -1.801     1.000   -15.034    11.432
 (7 - 3)    -10.384     0.205   -23.617     2.849
 (7 - 4)     -1.980     1.000   -15.213    11.252
 (7 - 5)     -1.819     1.000   -15.052    11.414
 (7 - 6)     -0.426     1.000   -13.659    12.807

task2
59
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      3.065     1.000   -17.810    23.939
 (0 - 2)     10.134     0.741   -10.741    31.008
 (0 - 3)     -3.602     0.999   -24.477    17.272
 (0 - 4)     10.686     0.690   -10.189    31.560
 (0 - 5)     11.265     0.634    -9.609    32.140
 (0 - 6)     12.144     0.547    -8.730    33.019
 (0 - 7)     12.412     0.521    -8.462    33.287
 (1 - 0)     -3.065     1.000   -23.939    17.810
 (1 - 2)      7.069     0.946   -13.806    27.943
 (1 - 3)     -6.667     0.960   -27.542    14.207
 (1 - 4)      7.621     0.921   -13.254    28.495
 (1 - 5)      8.201     0.890   -12.674    29.075
 (1 - 6)      9.080     0.830   -11.795    29.954
 (1 - 7)      9.348     0.809   -11.527    30.222
 (2 - 0)    -10.134     0.741   -31.008    10.741
 (2 - 1)     -7.069     0.946   -27.943    13.806
 (2 - 3)    -13.736     0.397   -34.610     7.138
 (2 - 4)      0.552     1.000   -20.322    21.427
