0
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (3 - 5)     11.079     0.000     9.947    12.211
 (3 - 6)     12.408     0.000    11.276    13.540
 (3 - 7)     12.487     0.000    11.355    13.619
 (4 - 0)    -12.191     0.000   -13.323   -11.059
 (4 - 1)     -4.337     0.000    -5.469    -3.205
 (4 - 2)     -3.748     0.000    -4.880    -2.616
 (4 - 3)    -11.738     0.000   -12.870   -10.606
 (4 - 5)     -0.659     0.644    -1.791     0.473
 (4 - 6)      0.670     0.624    -0.462     1.802
 (4 - 7)      0.749     0.477    -0.383     1.881
 (5 - 0)    -11.531     0.000   -12.663   -10.399
 (5 - 1)     -3.678     0.000    -4.810    -2.546
 (5 - 2)     -3.089     0.000    -4.221    -1.957
 (5 - 3)    -11.079     0.000   -12.211    -9.947
 (5 - 4)      0.659     0.644    -0.473     1.791
 (5 - 6)      1.329     0.009     0.197     2.461
 (5 - 7)      1.409     0.004     0.277     2.541
 (6 - 0)    -12.861     0.000   -13.993   -11.729
 (6 - 1)     -5.007     0.000    -6.139    -3.875
 (6 - 2)     -4.418     0.000    -5.550    -3.286
 (6 - 3)    -12.408     0.000   -13.540   -11.276
 (6 - 4)     -0.670     0.624    -1.802     0.462
 (6 - 5)     -1.329     0.009    -2.461    -0.197
 (6 - 7)      0.079     1.000    -1.053     1.211
 (7 - 0)    -12.940     0.000   -14.072   -11.808
 (7 - 1)     -5.087     0.000    -6.219    -3.955
 (7 - 2)     -4.498     0.000    -5.630    -3.366
 (7 - 3)    -12.487     0.000   -13.619   -11.355
 (7 - 4)     -0.749     0.477    -1.881     0.383
 (7 - 5)     -1.409     0.004    -2.541    -0.277
 (7 - 6)     -0.079     1.000    -1.211     1.053

1
499
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     12.931     0.000    11.847    14.015
 (0 - 2)     13.049     0.000    11.965    14.133
 (0 - 3)      1.896     0.000     0.812     2.980
 (0 - 4)     17.844     0.000    16.760    18.928
 (0 - 5)     17.419     0.000    16.335    18.503
 (0 - 6)     19.642     0.000    18.558    20.726
 (0 - 7)     20.025     0.000    18.941    21.109
 (1 - 0)    -12.931     0.000   -14.015   -11.847
 (1 - 2)      0.118     1.000    -0.966     1.202
 (1 - 3)    -11.035     0.000   -12.119    -9.951
 (1 - 4)      4.913     0.000     3.829     5.997
 (1 - 5)      4.488     0.000     3.404     5.572
 (1 - 6)      6.711     0.000     5.627     7.795
 (1 - 7)      7.094     0.000     6.010     8.178
 (2 - 0)    -13.049     0.000   -14.133   -11.965
 (2 - 1)     -0.118     1.000    -1.202     0.966
 (2 - 3)    -11.153     0.000   -12.237   -10.069
 (2 - 4)      4.795     0.000     3.711     5.879
 (2 - 5)      4.370     0.000     3.286     5.454
 (2 - 6)      6.593     0.000     5.509     7.677
 (2 - 7)      6.976     0.000     5.892     8.060
 (3 - 0)     -1.896     0.000    -2.980    -0.812
 (3 - 1)     11.035     0.000     9.951    12.119
 (3 - 2)     11.153     0.000    10.069    12.237
 (3 - 4)     15.948     0.000    14.864    17.032
 (3 - 5)     15.523     0.000    14.439    16.607
 (3 - 6)     17.746     0.000    16.662    18.830
 (3 - 7)     18.129     0.000    17.045    19.213
 (4 - 0)    -17.844     0.000   -18.928   -16.760
 (4 - 1)     -4.913     0.000    -5.997    -3.829
 (4 - 2)     -4.795     0.000    -5.879    -3.711
 (4 - 3)    -15.948     0.000   -17.032   -14.864
 (4 - 5)     -0.425     0.935    -1.509     0.659
 (4 - 6)      1.798     0.000     0.714     2.882
 (4 - 7)      2.181     0.000     1.097     3.265
 (5 - 0)    -17.419     0.000   -18.503   -16.335
 (5 - 1)     -4.488     0.000    -5.572    -3.404
 (5 - 2)     -4.370     0.000    -5.454    -3.286
 (5 - 3)    -15.523     0.000   -16.607   -14.439
 (5 - 4)      0.425     0.935    -0.659     1.509
 (5 - 6)      2.223     0.000     1.139     3.307
 (5 - 7)      2.606     0.000     1.522     3.690
 (6 - 0)    -19.642     0.000   -20.726   -18.558
 (6 - 1)     -6.711     0.000    -7.795    -5.627
 (6 - 2)     -6.593     0.000    -7.677    -5.509
 (6 - 3)    -17.746     0.000   -18.830   -16.662
